unix time,Activity,Status
1413392970591,eat,start
1413393286978,eat,stop
1413393286978,talk,start
1413393570021,talk,stop
1413393570021,eat,start
1413393962157,eat,stop
1413393962157,talk,start
1413394033769,talk,stop
1413394033769,drink,start
1413394036777,drink,stop
1413394036777,talk,start
1413394363694,talk,stop
1413394363694,walk,start
1413394374118,walk,stop
1413394374118,stair,start
1413394413147,stair,stop
1413394413147,walk,start
1413394445878,walk,stop
1413394445878,stair,start
1413394461121,stair,stop
1413394461121,walk,start
1413394471904,walk,stop
1413394471904,stair,start
1413394485939,stair,stop
1413394485939,walk,start
1413394524637,walk,stop
1413394524637,homework,start
1413395134769,homework,stop
1413395134769,drink,start
1413395140915,drink,stop
1413395140915,homework,start
1413396815719,homework,stop
1413396815719,drink,start
1413396824288,drink,stop
1413396824288,homework,start
1413399629610,homework,stop
1413399629610,drink,start
1413399632277,drink,stop
1413399632277,homework,start
1413400237428,homework,stop
