Start,Stop,MPL Magnetic Field X,MPL Magnetic Field Y,MPL Magnetic Field Z,MPL Rotation Vector X,MPL Rotation Vector Y,MPL Rotation Vector Z,MPL Linear Acceleration X,MPL Linear Acceleration Y,MPL Linear Acceleration Z,MPL Gravity X,MPL Gravity Y,MPL Gravity Z,MPL Gyroscope X,MPL Gyroscope Y,MPL Gyroscope Z,MPL Accelerometer X,MPL Accelerometer Y,MPL Accelerometer Z,Action
1407266686537,1407266686551,-0.038606502,-0.03696049,0.05192425,-0.13302784,9.292794,-3.1299698,0.03955942,0.811182,0.58229524,-0.17163433,9.255835,-3.0780456,1.711227,-22.79893,33.464165,-0.123031385,-0.030985879,0.0021547636,0
1407266686738,1407266686752,0.041150343,-0.084694885,0.024690205,-0.082300685,9.336938,-2.997391,0.041594494,0.80690205,0.5881479,-0.041150343,9.252243,-2.9727006,1.6768634,-23.235249,33.27954,-0.07189683,0.026538666,0.011745339,0
1407266687137,1407266687151,-0.04249708,-0.5849334,-0.02633622,-1.0173861,7.9756846,-5.614702,-0.035252962,0.88601357,0.46056467,-1.0598831,7.390751,-5.6410384,2.1601942,-23.952497,32.845654,0.9390391,0.25237474,-0.47721103,0
1407266687337,1407266687351,0.11581951,-1.1070191,0.18495208,-0.9674071,8.132654,-5.393837,-0.03446845,0.8796701,0.4728461,-0.8515876,7.0256352,-5.208885,2.43701,-23.1092,33.451576,-0.21463694,0.046779756,-0.0031593079,0
1407266687735,1407266687750,-0.12120646,0.18166006,0.15128362,-0.8105869,8.762928,-4.3270707,-0.016275443,0.8487329,0.52716136,-0.9317934,8.944588,-4.175787,3.5102952,-19.732985,35.829655,-0.16883056,-0.01713611,0.07567026,0
1407266687936,1407266687950,0.11282676,-0.111779295,0.108337626,-0.8123826,8.837297,-4.1727943,-0.023227658,0.84392637,0.5348536,-0.6995558,8.725518,-4.0644565,3.9272516,-18.887943,36.537865,-0.087872066,0.081933215,-0.058556255,0
1407266688334,1407266688349,0.23089083,0.050876785,0.22505496,-0.64673376,8.95596,-3.9423523,-0.021808432,0.83697313,0.54623,-0.41584292,9.006837,-3.7172973,3.9012246,-19.103043,36.104843,-0.0686973,0.022278408,-0.024467792,0
1407266688534,1407266688549,0.108337626,0.27144262,0.1515829,-0.3482067,9.263316,-3.1997008,0.013020562,0.8142289,0.5795659,-0.23986909,9.534759,-3.048118,3.5767384,-19.584206,35.4775,-0.3520595,-0.31967202,0.27060753,0
1407266688934,1407266688949,0.20305823,-0.14859015,-0.07571663,0.049081136,9.367314,-2.9017725,0.09578518,0.79922915,0.58949125,0.25213936,9.218724,-2.977489,2.9031053,-21.546707,33.771595,-0.0228928,-0.19503607,0.11081786,0
1407266689332,1407266689347,-0.28356326,0.1467945,0.14469956,-0.04129998,9.087492,-3.6860232,0.12114768,0.8205193,0.55226594,-0.32486326,9.234286,-3.5413237,3.4010062,-24.201876,32.224358,0.29988578,-0.14603311,0.060756557,0
1407266689732,1407266689746,0.027234044,-0.11402386,0.033069912,0.16624738,9.066992,-3.732411,0.13315293,0.82010186,0.55085963,0.19348143,8.952968,-3.6993408,4.9372787,-24.866896,31.851418,-0.16456763,-0.018201107,0.0714124,0
1407266690651,1407266690658,0.05701193,-0.30900165,0.030825347,0.40102878,9.194932,-3.3854012,0.13488941,0.8089574,0.56795496,0.4580407,8.88593,-3.3545759,5.547449,-24.246553,32.220844,-0.20078664,0.047845285,0.09804401,0
1407266690928,1407266690944,0.07631518,-0.1213561,0.0067336923,0.5732617,9.4178915,-2.6729765,0.13059513,0.7869105,0.5998521,0.64957684,9.2965355,-2.6662428,5.1631618,-24.700844,30.540089,0.0047984836,0.0062981094,-0.003174488,0
1407266691327,1407266691342,0.03232172,-0.14754269,0.017657237,0.5741595,9.417742,-2.6731262,0.1326116,0.78657675,0.59969175,0.6064812,9.2702,-2.655469,4.4637604,-25.5755,29.686634,0.0005374259,-0.0011587414,-0.0042397524,0
1407266691527,1407266691542,-0.000748188,-0.088136554,-0.0074818805,0.57251346,9.426571,-2.6420016,0.12869783,0.78621805,0.6012832,0.5717653,9.338434,-2.6494834,4.2816,-26.027328,29.53199,-0.021827534,-0.0054187337,3.0360035e-05,0
1407266691926,1407266691949,-0.021547815,-0.20829555,-0.052223526,0.53944355,9.433005,-2.6259904,0.1272346,0.785936,0.6018452,0.51789576,9.2247095,-2.6782138,3.829292,-26.75108,29.723951,0.0058693406,-9.241169e-05,-0.0010349044,0
1407266692126,1407266692332,-0.030825347,-0.1806126,0.016759412,0.5391443,9.432856,-2.6267385,0.12558012,0.7862254,0.6019436,0.50353056,9.252243,-2.6698341,3.789632,-26.837614,29.815765,0.014385863,0.0052331113,-0.0063702813,0
1407266692524,1407266692540,0.022595279,-0.21068975,0.013617022,0.59944826,9.437794,-2.596063,0.12882814,0.7847034,0.60335064,0.62204355,9.227104,-2.5824459,3.819798,-26.547325,29.666306,-0.02289839,0.0020373182,0.025587652,0
1407266693414,1407266693420,-0.029927522,-0.07062895,0.043394905,0.5992986,9.437794,-2.5959132,0.13015603,0.78448,0.6032525,0.5693711,9.367165,-2.5525184,3.9799626,-26.501389,29.50728,-0.0090555465,0.004166782,0.0032077774,0
1407266693722,1407266693738,0.11776479,-0.22670098,-0.15622166,0.6323685,9.735124,-0.9980828,0.15238585,0.72640395,0.66342497,0.75013334,9.508423,-1.1543045,4.450378,-28.60128,27.718145,0.030359237,-0.081054375,0.0010772486,0
1407266693924,1407266693940,0.0163105,-0.067935474,0.1448492,0.5781997,9.739163,-0.99149877,0.15146315,0.7263638,0.6632549,0.5945102,9.671228,-0.8466496,4.700337,-29.360605,26.139595,0.019712185,0.01695102,-0.033001892,0
1407266694321,1407266694337,0.040102877,-0.13512276,0.11656769,0.38681322,9.744102,-1.0350434,0.13932925,0.730314,0.6613588,0.4269161,9.608979,-0.9184756,5.0801783,-30.373579,23.760439,0.005863748,0.074475296,-0.019153455,0
1407266694521,1407266694729,-0.0077811554,-0.10070611,-0.1755249,0.34730887,9.750386,-0.9895535,0.13734426,0.7290983,0.6628992,0.53704935,9.544335,-0.89333653,5.31783,-30.633123,23.058695,-0.025027055,0.038256574,0.010676879,0
1407266694919,1407266694934,-0.05746084,-0.22340895,0.0017956513,0.24735096,9.754577,-0.9777321,0.13390702,0.729325,0.6627642,0.18989012,9.531167,-0.9759365,5.5376606,-30.692043,22.803156,-0.010113354,-0.024594026,-0.040455814,0
1407266695119,1407266695134,-0.07796119,-0.13452421,-0.0019452889,0.41509473,9.774628,-0.67351884,0.14640293,0.716171,0.67376786,0.33713353,9.640103,-0.67546415,5.759355,-30.80133,22.55859,-0.16138463,-0.10661992,0.106544815,0
1407266695518,1407266695533,-0.20141222,-0.0700304,0.35703534,0.83183545,9.771186,-0.04249708,0.16977301,0.6879946,0.69690126,0.63042325,9.701156,0.31453824,6.094684,-30.927794,22.013334,-0.25406262,-0.08637989,0.051151067,0
1407266695718,1407266695733,0.092176765,-0.12749124,0.0062847794,0.8901941,9.764004,0.20171149,0.17007652,0.67881423,0.7058267,0.9823709,9.636512,0.20799628,6.0203724,-31.279764,21.291166,-0.1294211,-0.0682696,0.012810604,0
1407266696606,1407266696612,-0.029927522,-0.17642274,0.089184016,0.94765496,9.749489,0.4683657,0.16899744,0.66899574,0.71561354,0.9177274,9.573066,0.5575497,5.5754833,-31.917439,20.143192,-0.11663793,0.045713693,0.033050627,0
1407266696916,1407266696933,0.0796072,-0.2057517,0.07092822,1.0392332,9.686641,1.1210849,0.16088104,0.6457216,0.7394074,1.1188403,9.480889,1.1920131,3.9811716,-35.060112,15.045163,-0.023969248,0.04038604,-0.0074446006,0
1407266697314,1407266697329,0.07706337,-0.10564415,-0.017806875,1.1136031,9.672725,1.1691186,0.16470575,0.6428541,0.7411447,1.1906664,9.5670805,1.1513118,3.6173265,-35.13677,14.145308,0.009053948,-0.008616125,0.04155756,0
1407266697714,1407266697729,-0.05551555,-0.28670564,-0.0002992752,1.1420342,9.704148,0.8331822,0.1735721,0.65374684,0.729086,1.0865186,9.417442,0.83288294,3.3473005,-35.114555,13.765092,0.041013747,-0.08318437,-0.048986983,0
1407266698113,1407266698128,-0.13467385,-0.064493805,-0.06988076,0.99972886,9.730933,0.69087684,0.18043609,0.6574304,0.7215999,0.865055,9.66644,0.62099606,3.7305,-35.28232,13.844549,-0.011189537,-0.06401041,-0.04473498,0
1407266698512,1407266698527,0.0175076,-0.17851767,-0.03546411,0.9935937,9.733627,0.66124856,0.18454792,0.65743726,0.71978945,1.0111012,9.555109,0.62578446,4.8188024,-35.440933,14.526639,0.009050487,-0.02353036,-0.010646519,0
1407266698712,1407266698727,-0.04309563,-0.21083939,0.015263036,0.95603466,9.742006,0.58897364,0.18614751,0.65978754,0.7166373,0.912939,9.531167,0.60423666,5.1645966,-35.281143,14.627992,0.037812628,-0.03844406,-0.01810337,0
