unix time,Activity,Status
1406833269000,eat,start
1406833756000,eat,stop
1406833756000,talk,start
1406834072000,talk,stop
1406834072000,eat,start
1406834717000,eat,stop
1406834717000,talk,start
1406834723000,talk,stop
1406834723000,drink,start
1406834725000,drink,stop
1406834725000,talk,start
1406835056000,talk,stop
1406835056000,walk,start
1406835068000,walk,stop
1406835068000,stair,start
1406835096000,stair,stop
1406835096000,walk,start
1406835128000,walk,stop
1406835128000,stair,start
1406835144000,stair,stop
1406835144000,walk,start
1406835153000,walk,stop
1406835153000,stair,start
1406835166000,stair,stop
1406835166000,walk,start
1406835209000,walk,stop
1406835209000,talk,start
1406835282000,talk,stop
1406835282000,drink,start
1406835285000,drink,stop
1406835285000,play_cellphone,start
1406840174000,play_cellphone,stop
