unix time,Activity,Status
1413392270583,eat,start
1413392628307,eat,stop
1413392628307,talk,start
1413393103590,talk,stop
1413393103590,eat,start
1413393604809,eat,stop
1413393604809,talk,start
1413394038368,talk,stop
1413394038368,walk,start
1413394050687,walk,stop
1413394050687,stair,start
1413394079919,stair,stop
1413394079919,walk,start
1413394109234,walk,stop
1413394109234,stair,start
1413394126495,stair,stop
1413394126495,walk,start
1413394139450,walk,stop
1413394139450,stair,start
1413394154189,stair,stop
1413394154189,walk,start
1413394189223,walk,stop
1413394189223,talk,start
1413394564406,talk,stop
1413394564406,drink,start
1413394567555,drink,stop
1413394567555,play_mobile,start
1413394946787,play_mobile,stop
1413394946787,drink,start
1413394950734,drink,stop
1413394950734,play_mobile,start
1413396113889,play_mobile,stop
1413396113889,drink,start
1413396116896,drink,stop
1413396116896,play_mobile,start
1413398116567,play_mobile,stop
1413398116567,drink,start
1413398119868,drink,stop
1413398119868,play_mobile,start
1413399199501,play_mobile,stop
