unix time,Activity,Status
1412179616854,drink,start
1412179630822,drink,stop
1412179630822,eat,start
1412181622240,eat,stop
1412181622240,talk,start
1412181968493,talk,stop
1412181968493,eat,start
1412183270476,eat,stop
1412183270476,talk,start
1412183295819,talk,stop
1412183295819,drink,start
1412183298906,drink,stop
1412183298906,talk,start
1412183389702,talk,stop
1412183389702,drink,start
1412183391484,drink,stop
1412183391484,talk,start
1412183541716,talk,stop
1412183541716,drink,start
1412183544160,drink,stop
1412183544160,talk,start
1412183569682,talk,stop
1412183569682,walk,start
1412183582481,walk,stop
1412183582481,stair,start
1412183630782,stair,stop
1412183630782,walk,start
1412183697496,walk,stop
1412183697496,stair,start
1412183733098,stair,stop
1412183733098,walk,start
1412183741028,walk,stop
1412183741028,stair,start
1412183761346,stair,stop
1412183761346,walk,start
1412183811071,walk,stop
1412183811071,talk,start
1412183970600,talk,stop
1412183970600,drink,start
1412183975387,drink,stop
1412183975387,computer_work,start
1412184163451,computer_work,stop
1412184163451,drink,start
1412184167220,drink,stop
1412184167220,computer_work,start
1412184333586,computer_work,stop
1412184333586,drink,start
1412184337017,drink,stop
1412184337017,computer_work,start
1412186479175,computer_work,stop
1412186479175,drink,start
1412186481439,drink,stop
1412186481439,computer_work,start
1412186712461,computer_work,stop
