unix time,Activity,Status
1415819222584,eat,start
1415819751564,eat,stop
1415819751564,talk,start
1415820120185,talk,stop
1415820120185,eat,start
1415820446098,eat,stop
1415820446098,talk,start
1415820458723,talk,stop
1415820458723,walk,start
1415820466232,walk,stop
1415820466232,stair,start
1415820488952,stair,stop
1415820488952,walk,start
1415820516381,walk,stop
1415820516381,stair,start
1415820527673,stair,stop
1415820527673,walk,start
1415820537520,walk,stop
1415820537520,stair,start
1415820546988,stair,stop
1415820546988,walk,start
1415820577016,walk,stop
1415820577016,computer,start
1415821052432,computer,stop
1415821052432,drink,start
1415821054977,drink,stop
1415821054977,computer,start
1415826077496,computer,stop
