unix time,Activity,Status
1412290141537,eat,start
1412290621181,eat,stop
1412290621181,talk,start
1412291249867,talk,stop
1412291249867,eat,start
1412292184627,eat,stop
1412292184627,talk,start
1412292617548,talk,stop
1412292617548,walk,start
1412292632804,walk,stop
1412292632804,stair,start
1412292660422,stair,stop
1412292660422,walk,start
1412292695095,walk,stop
1412292695095,stair,start
1412292713798,stair,stop
1412292713798,walk,start
1412292727696,walk,stop
1412292727696,stair,start
1412292742784,stair,stop
1412292742784,walk,start
1412292781531,walk,stop
1412292781531,talk,start
1412292941629,talk,stop
1412292941629,drink,start
1412292943985,drink,stop
1412292943985,talk,start
1412292972577,talk,stop
1412292972577,study,start
1412297221550,study,stop
