unix time,Activity,Status
1415819222915,eat,start
1415819710234,eat,stop
1415819710234,talk,start
1415820124208,talk,stop
1415820124208,eat,start
1415820517109,eat,stop
1415820517109,talk,start
1415820622396,talk,stop
1415820622396,walk,start
1415820630551,walk,stop
1415820630551,stair,start
1415820656494,stair,stop
1415820656494,walk,start
1415820688123,walk,stop
1415820688123,stair,start
1415820706709,stair,stop
1415820706709,walk,start
1415820717503,walk,stop
1415820717503,stair,start
1415820733344,stair,stop
1415820733344,walk,start
1415820766014,walk,stop
1415820766014,talk,start
1415821148848,talk,stop
1415821148848,drink,start
1415821164825,drink,stop
1415821164825,computer_work,start
1415821759618,computer_work,stop
1415821759618,drink,start
1415821770101,drink,stop
1415821770101,computer_work,start
1415826040784,computer_work,stop
