unix time,Activity,Status
1413479193650,eat,start
1413479442899,eat,stop
1413479442899,talk,start
1413479457833,talk,stop
1413479457833,drink,start
1413479459907,drink,stop
1413479459907,talk,start
1413479761911,talk,stop
1413479761911,eat,start
1413479999561,eat,stop
1413479999561,talk,start
1413480016885,talk,stop
1413480016885,drink,start
1413480020014,drink,stop
1413480020014,talk,start
1413480087063,talk,stop
1413480087063,drink,start
1413480089453,drink,stop
1413480089453,talk,start
1413480678090,talk,stop
1413480678090,walk,start
1413480685909,walk,stop
1413480685909,stair,start
1413480712257,stair,stop
1413480712257,walk,start
1413480741627,walk,stop
1413480741627,stair,start
1413480757347,stair,stop
1413480757347,walk,start
1413480769294,walk,stop
1413480769294,stair,start
1413480781803,stair,stop
1413480781803,walk,start
1413480816874,walk,stop
1413480816874,talk,start
1413480823819,talk,stop
1413480823819,drink,start
1413480827991,drink,stop
1413480827991,computer_work,start
1413485984043,computer_work,stop
1413485984043,drink,start
1413485991831,drink,stop
1413485991831,talk,start
1413486047612,talk,stop
