unix time,Activity,Status
1411574848695,eat,start
1411575266136,eat,stop
1411575266136,talk,start
1411575444304,talk,stop
1411575444304,eat,start
1411575708084,eat,stop
1411575708084,talk,start
1411575813659,talk,stop
1411575813659,walk,start
1411575826203,walk,stop
1411575826203,stair,start
1411575848066,stair,stop
1411575848066,walk,start
1411575879845,walk,stop
1411575879845,stair,start
1411575899548,stair,stop
1411575899548,walk,start
1411575910019,walk,stop
1411575910019,stair,start
1411575924784,stair,stop
1411575924784,walk,start
1411575960427,walk,stop
1411575960427,study,start
1411581091397,study,stop
1411581091397,drink,start
1411581096312,drink,stop
1411581096312,study,start
1411581818414,study,stop
