unix time,Activity,Status
1411149119516,eat,start
1411149336079,eat,stop
1411149336079,talk,start
1411150745614,talk,stop
1411150745614,eat,start
1411150988885,eat,stop
1411150988885,talk,start
1411151014428,talk,stop
1411151014428,drink,start
1411151020036,drink,stop
1411151020036,talk,start
1411151024527,talk,stop
1411151024527,walk,start
1411151032491,walk,stop
1411151032491,stair,start
1411151057508,stair,stop
1411151057508,walk,start
1411151085020,walk,stop
1411151085020,stair,start
1411151099041,stair,stop
1411151099041,walk,start
1411151108857,walk,stop
1411151108857,stair,start
1411151119632,stair,stop
1411151119632,walk,start
1411151149908,walk,stop
1411151149908,talk,start
1411151168751,talk,stop
1411151168751,drink,start
1411151175366,drink,stop
1411151175366,play game,start
1411151762535,play game,stop
1411151762535,talk,start
1411151773351,talk,stop
1411151773351,play game,start
1411151894319,play game,stop
1411151894319,drink,start
1411151899660,drink,stop
1411151899660,play game,start
1411152427911,play game,stop
1411152427911,drink,start
1411152430529,drink,stop
1411152430529,play game,start
1411152883588,play game,stop
1411152883588,drink,start
1411152886072,drink,stop
1411152886072,play game,start
1411153610843,play game,stop
1411153610843,drink,start
1411153613637,drink,stop
1411153613637,play game,start
1411153650516,play game,stop
1411153650516,drink,start
1411153657355,drink,stop
1411153657355,play game,start
1411154494771,play game,stop
1411154494771,drink,start
1411154498368,drink,stop
1411154498368,play game,start
1411155756487,play game,stop
1411155756487,drink,start
1411155760309,drink,stop
1411155760309,play game,start
1411155909895,play game,stop
