unix time,Activity,Status
1412786263864,eat,start
1412786577297,eat,stop
1412786577297,talk,start
1412786959017,talk,stop
1412786959017,eat,start
1412787327989,eat,stop
1412787327989,talk,start
1412787533856,talk,stop
1412787533856,walk,start
1412787543931,walk,stop
1412787543931,stair,start
1412787568794,stair,stop
1412787568794,walk,start
1412787597933,walk,stop
1412787597933,stair,start
1412787611573,stair,stop
1412787611573,walk,start
1412787621931,walk,stop
1412787621931,stair,start
1412787634286,stair,stop
1412787634286,walk,start
1412787670424,walk,stop
1412787670424,homework,start
1412790044395,homework,stop
1412790044395,drink,start
1412790047482,drink,stop
1412790047482,homework,start
1412792603532,homework,stop
1412792603532,drink,start
1412792607845,drink,stop
1412792607845,homework,start
1412793371511,homework,stop
