unix time,Activity,Status
1413903772796,eat,start
1413904092292,eat,stop
1413904092292,computer_work,start
1413904760561,computer_work,stop
1413904760561,eat,start
1413905076541,eat,stop
1413905076541,talk,start
1413905108421,talk,stop
1413905108421,drink,start
1413905158593,drink,stop
1413905158593,talk,start
1413905185617,talk,stop
1413905185617,walk,start
1413905212384,walk,stop
1413905212384,stair,start
1413905234626,stair,stop
1413905234626,walk,start
1413905273159,walk,stop
1413905273159,stair,start
1413905294079,stair,stop
1413905294079,walk,start
1413905307191,walk,stop
1413905307191,stair,start
1413905326463,stair,stop
1413905326463,walk,start
1413905368947,walk,stop
1413905368947,computer_work,start
1413910637023,computer_work,stop
