unix time,Activity,Status
1413571359185,eat,start
1413571496219,eat,stop
1413571496219,talk,start
1413571812989,talk,stop
1413571812989,eat,start
1413571968042,eat,stop
1413571968042,talk,start
1413572000993,talk,stop
1413572000993,walk,start
1413572009359,walk,stop
1413572009359,stair,start
1413572034747,stair,stop
1413572034747,walk,start
1413572063663,walk,stop
1413572063663,stair,start
1413572077125,stair,stop
1413572077125,walk,start
1413572086494,walk,stop
1413572086494,stair,start
1413572097012,stair,stop
1413572097012,walk,start
1413572128944,walk,stop
1413572128944,homework,start
1413577426623,homework,stop
1413577426623,drink,start
1413577430326,drink,stop
1413577430326,homework,start
1413578159993,homework,stop
