unix time,Activity,Status
1416425581500,eat,start
1416425759455,eat,stop
1416425759455,talk,start
1416425780832,talk,stop
1416425780832,drink,start
1416425785981,drink,stop
1416425785981,talk,start
1416426400928,talk,stop
1416426400928,eat,start
1416426562241,eat,stop
1416426562241,talk,start
1416426569144,talk,stop
1416426569144,drink,start
1416426575614,drink,stop
1416426575614,talk,start
1416426583828,talk,stop
1416426583828,walk,start
1416426598134,walk,stop
1416426598134,stair,start
1416426618416,stair,stop
1416426618416,walk,start
1416426649886,walk,stop
1416426649886,stair,start
1416426669399,stair,stop
1416426669399,walk,start
1416426681386,walk,stop
1416426681386,stair,start
1416426698430,stair,stop
1416426698430,walk,start
1416426730484,walk,stop
1416426730484,talk,start
1416426739781,talk,stop
1416426739781,drink,start
1416426743361,drink,stop
1416426743361,computer_work,start
1416430957596,computer_work,stop
1416430957596,drink,start
1416430961123,drink,stop
1416430961123,computer_work,start
1416432472585,computer_work,stop
