unix time,Activity,Status
1408986469772,eat,start
1408986627143,eat,stop
1408986627143,talk,start
1408986791397,talk,stop
1408986791397,drink,start
1408986796502,drink,stop
1408986796502,talk,start
1408986806476,talk,stop
1408986806476,eat,start
1408987054523,eat,stop
1408987054523,talk,start
1408987221040,talk,stop
1408987221040,walk,start
1408987229482,walk,stop
1408987229482,stair,start
1408987252776,stair,stop
1408987252776,walk,start
1408987281098,walk,stop
1408987281098,stair,start
1408987296609,stair,stop
1408987296609,walk,start
1408987308894,walk,stop
1408987308894,stair,start
1408987321750,stair,stop
1408987321750,walk,start
1408987357772,walk,stop
1408987357772,play_cellphone,start
1408993274676,play_cellphone,stop
