unix time,Activity,Status
1406819427123,eat,start
1406819783511,eat,stop
1406819783511,talk,start
1406820092669,talk,stop
1406820092669,eat,start
1406820452803,eat,stop
1406820452803,talk,start
1406820602728,talk,stop
1406820602728,drink,start
1406820605453,drink,stop
1406820605453,talk,start
1406820740902,talk,stop
1406820740902,walk,start
1406820748245,walk,stop
1406820748245,stair,start
1406820774246,stair,stop
1406820774246,walk,start
1406820803536,walk,stop
1406820803536,stair,start
1406820819717,stair,stop
1406820819717,walk,start
1406820830576,walk,stop
1406820830576,stair,start
1406820847487,stair,stop
1406820847487,walk,start
1406820881161,walk,stop
1406820881161,computer_work,start
1406820887874,computer_work,stop
1406820887874,drink,start
1406820891418,drink,stop
1406820891418,computer_work,start
1406822929625,computer_work,stop
1406822929625,drink,start
1406822932971,drink,stop
1406822932971,computer_work,start
1406824079009,computer_work,stop
1406824079009,drink,start
1406824081377,drink,stop
1406824081377,computer_work,start
1406825800040,computer_work,stop
1406825800040,drink,start
1406825805663,drink,stop
1406825805663,computer_work,start
1406826237969,computer_work,stop
