unix time,Activity,Status
1409161545268,eat,start
1409161962142,eat,stop
1409161962142,talk,start
1409161994972,talk,stop
1409161994972,walk,start
1409162260379,walk,stop
1409162260379,talk,start
1409162282221,talk,stop
1409162282221,eat,start
1409162860434,eat,stop
1409162860434,talk,start
1409162901220,talk,stop
1409162901220,walk,start
1409162915180,walk,stop
1409162915180,stair,start
1409162945787,stair,stop
1409162945787,walk,start
1409162977559,walk,stop
1409162977559,stair,start
1409162994588,stair,stop
1409162994588,walk,start
1409163003917,walk,stop
1409163003917,stair,start
1409163020147,stair,stop
1409163020147,walk,start
1409163087530,walk,stop
1409163087530,talk,start
1409163154834,talk,stop
1409163154834,walk,start
1409163216955,walk,stop
1409163216955,talk,start
1409163232912,talk,stop
1409163232912,computer work,start
1409167765904,computer work,stop
1409167765904,drink,start
1409167774564,drink,stop
1409167774564,computer work,start
1409168767856,computer work,stop
