unix time,Activity,Status
1412611488459,eat,start
1412612332210,eat,stop
1412612332210,talk,start
1412612635013,talk,stop
1412612635013,eat,start
1412614507436,eat,stop
1412614507436,talk,start
1412614522097,talk,stop
1412614522097,drink,start
1412614526071,drink,stop
1412614526071,talk,start
1412614822814,talk,stop
1412614822814,walk,start
1412614834102,walk,stop
1412614834102,stair,start
1412614861851,stair,stop
1412614861851,walk,start
1412614890597,walk,stop
1412614890597,stair,start
1412614907789,stair,stop
1412614907789,walk,start
1412614918627,walk,stop
1412614918627,stair,start
1412614931074,stair,stop
1412614931074,walk,start
1412614969448,walk,stop
1412614969448,homework,start
1412615076492,homework,stop
1412615076492,drink,start
1412615079866,drink,stop
1412615079866,homework,start
1412618582837,homework,stop
