unix time,Activity,Status
1413466259476,eat,start
1413466482047,eat,stop
1413466482047,talk,start
1413466819431,talk,stop
1413466819431,eat,start
1413467150221,eat,stop
1413467150221,talk,start
1413467517725,talk,stop
1413467517725,walk,start
1413467525609,walk,stop
1413467525609,stair,start
1413467546150,stair,stop
1413467546150,walk,start
1413467573730,walk,stop
1413467573730,stair,start
1413467586437,stair,stop
1413467586437,walk,start
1413467595635,walk,stop
1413467595635,stair,start
1413467609718,stair,stop
1413467609718,walk,start
1413467642698,walk,stop
1413467642698,homework,start
1413470302857,homework,stop
1413470302857,drink,start
1413470304813,drink,stop
1413470304813,homework,start
1413473284396,homework,stop
