Start,Stop,MPL Magnetic Field X,MPL Magnetic Field Y,MPL Magnetic Field Z,MPL Rotation Vector X,MPL Rotation Vector Y,MPL Rotation Vector Z,MPL Linear Acceleration X,MPL Linear Acceleration Y,MPL Linear Acceleration Z,MPL Gravity X,MPL Gravity Y,MPL Gravity Z,MPL Gyroscope X,MPL Gyroscope Y,MPL Gyroscope Z,MPL Accelerometer X,MPL Accelerometer Y,MPL Accelerometer Z,Action
1408986469971,1408986469986,0.22116438,0.44951138,0.16609775,0.10564415,9.4972,2.4411879,0.12072426,0.60079706,0.776431,0.32680854,9.946711,2.6072857,-15.431033,-23.686686,8.156459,-0.2854243,0.5156878,0.018342521,1
1408986470928,1408986470934,0.07392098,0.21413141,-0.122253925,0.042197805,9.509919,2.3931541,0.10585179,0.60561925,0.7775012,0.11611878,9.7240505,2.2709002,-14.022271,-24.063957,8.859112,-0.0009986854,0.21528329,0.009820406,1
1408986471168,1408986471185,0.043544542,-0.36032736,0.030526072,0.16115971,9.785102,0.6290765,0.098603025,0.6769058,0.7234514,0.20470424,9.424775,0.6596026,-11.078342,-26.569344,2.77169,0.16624783,0.033123065,0.08545418,1
1408986471372,1408986471580,0.07885902,-0.04444237,0.11507132,0.26111764,9.768493,0.82345575,0.089261025,0.670853,0.7321018,-0.048935585,0.12580107,0.034321487,-11.4939785,-26.392773,4.3551493,0.25139117,9.749189,0.61171854,1
1408986471967,1408986471982,0.20500351,-0.022744916,-0.07062895,0.6844424,9.749189,0.80924016,0.086709365,0.67172724,0.7344572,0.88944596,9.726444,0.7386112,-13.125048,-26.370638,5.8928742,-0.05106611,0.2025001,0.11634685,1
1408986472366,1408986472381,-0.16400282,0.039504327,0.07062895,0.15322891,9.783905,0.6488287,0.07310206,0.67939126,0.7270703,-0.010773907,9.82341,0.7194576,-14.911106,-26.286993,6.2671504,0.028828718,-0.123470806,-0.09564077,1
1408986472566,1408986472581,-0.120159,0.058807578,-0.048931498,0.05192425,9.770588,0.83782095,0.07486851,0.6720668,0.7325909,-0.06823475,9.829395,0.78888947,-15.448329,-26.222473,6.0846376,-0.10645986,-0.08938234,-0.039181758,1
1408986472965,1408986472980,0.051774614,-0.25962123,-0.006135142,0.30137014,9.768193,0.8129811,0.08594536,0.67168427,0.73241746,0.35314476,9.508572,0.80684596,-14.989394,-26.103657,5.4752035,0.071439296,-0.03824965,0.08225839,1
1408986473165,1408986473180,0.017058687,-0.15532383,0.006434417,0.4043208,9.760861,0.85547817,0.088337064,0.6697601,0.7343384,0.4213795,9.605537,0.8619126,-14.503057,-25.958387,5.303148,-0.018042916,0.015013571,0.050300453,1
1408986474107,1408986474114,0.12719196,-0.44202948,0.26830024,0.51565117,9.756671,0.84260935,0.08866301,0.67020583,0.7345787,0.6428431,9.314642,1.1109096,-14.36,-25.636885,5.061076,0.025632925,0.04590624,0.011950935,1
