unix time,Activity,Status
1406214863123,eat,start
1406215042464,eat,stop
1406215042464,drink,start
1406215047607,drink,stop
1406215047607,talk,start
1406215211713,talk,stop
1406215211713,eat,start
1406215443979,eat,stop
1406215443979,talk,start
1406216161165,talk,stop
1406216161165,walk,start
1406216168751,walk,stop
1406216168751,stair,start
1406216187065,stair,stop
1406216187065,walk,start
1406216212752,walk,stop
1406216212752,stair,start
1406216223230,stair,stop
1406216223230,walk,start
1406216232818,walk,stop
1406216232818,stair,start
1406216244396,stair,stop
1406216244396,walk,start
1406216277807,walk,stop
1406216277807,computer_work,start
1406221568573,computer_work,stop
1406221568573,drink,start
1406221576534,drink,stop
1406221576534,computer_work,start
1406221829384,computer_work,stop
