unix time,Activity,Status
1414772408330,eat,start
1414772600547,eat,stop
1414772600547,talk,start
1414773043551,talk,stop
1414773043551,eat,start
1414773610086,eat,stop
1414773610086,drink,start
1414773617134,drink,stop
1414773617134,talk,start
1414773648836,talk,stop
1414773648836,walk,start
1414773676036,walk,stop
1414773676036,stair,start
1414773680469,stair,stop
1414773680469,walk,start
1414773708653,walk,stop
1414773708653,stair,start
1414773724413,stair,stop
1414773724413,walk,start
1414773736403,walk,stop
1414773736403,stair,start
1414773749475,stair,stop
1414773749475,walk,start
1414773829091,walk,stop
1414773829091,eat,start
1414774266769,eat,stop
1414774266769,homework,start
1414778739014,homework,stop
1414778739014,drink,start
1414778744768,drink,stop
1414778744768,homework,start
1414779061326,homework,stop
