unix time,Activity,Status
1413484930594,eat,start
1413485054087,eat,stop
1413485054087,talk,start
1413485441809,talk,stop
1413485441809,eat,start
1413485632793,eat,stop
1413485632793,talk,start
1413485664347,talk,stop
1413485664347,walk,start
1413485673503,walk,stop
1413485673503,stair,start
1413485702743,stair,stop
1413485702743,walk,start
1413485729332,walk,stop
1413485729332,stair,start
1413485743780,stair,stop
1413485743780,walk,start
1413485752777,walk,stop
1413485752777,stair,start
1413485763522,stair,stop
1413485763522,walk,start
1413485797452,walk,stop
1413485797452,w,start
1413486374672,w,stop
1413486374672,drink,start
1413486381388,drink,stop
1413486381388,homework,start
1413487971859,homework,stop
1413487971859,drink,start
1413487978054,drink,stop
1413487978054,homework,start
1413489695821,homework,stop
1413489695821,drink,start
1413489701877,drink,stop
1413489701877,homework,start
1413491871590,homework,stop
