unix time,Activity,Status
1410881832519,eat,start
1410882280250,eat,stop
1410882280250,talk,start
1410882547162,talk,stop
1410882547162,eat,start
1410882811158,eat,stop
1410882811158,talk,start
1410883070812,talk,stop
1410883070812,walk,start
1410883081352,walk,stop
1410883081352,stair,start
1410883110841,stair,stop
1410883110841,walk,start
1410883138790,walk,stop
1410883138790,stair,start
1410883154690,stair,stop
1410883154690,walk,start
1410883163419,walk,stop
1410883163419,stair,start
1410883176014,stair,stop
1410883176014,walk,start
1410883325774,walk,stop
1410883325774,drink,start
1410883332992,drink,stop
1410883332992,homework,start
1410885491826,homework,stop
1410885491826,drink,start
1410885496637,drink,stop
1410885496637,homework,start
1410888983672,homework,stop
