unix time,Activity,Status
1410372469920,eat,start
1410373098926,eat,stop
1410373098926,talk,start
1410373255498,talk,stop
1410373255498,eat,start
1410373779868,eat,stop
1410373779868,talk,start
1410373862330,talk,stop
1410373862330,walk,start
1410373872166,walk,stop
1410373872166,stair,start
1410373895760,stair,stop
1410373895760,walk,start
1410373924474,walk,stop
1410373924474,stair,start
1410373938386,stair,stop
1410373938386,walk,start
1410373949587,walk,stop
1410373949587,stair,start
1410373963027,stair,stop
1410373963027,walk,start
1410374005705,walk,stop
1410374005705,computer_work,start
1410377240593,computer_work,stop
1410377240593,drink,start
1410377248081,drink,stop
1410377248081,computer_work,start
1410379500646,computer_work,stop
