unix time,Activity,Status
1406215449184,eat,start
1406215637381,eat,stop
1406215637381,talk,start
1406215913959,talk,stop
1406215913959,eat,start
1406216134742,eat,stop
1406216134742,talk,start
1406216157916,talk,stop
1406216157916,walk,start
1406216170967,walk,stop
1406216170967,stair,start
1406216190088,stair,stop
1406216190088,walk,start
1406216216225,walk,stop
1406216216225,stair,start
1406216225682,stair,stop
1406216225682,walk,start
1406216235035,walk,stop
1406216235035,stair,start
1406216244254,stair,stop
1406216244254,walk,start
1406216250254,walk,stop
1406216250254,computer_work,start
1406216320325,computer_work,stop
1406216320325,walk,start
1406216324325,walk,stop
1406216324325,computer_work,start
1406221568352,computer_work,stop
1406221568352,drink,start
1406221570352,drink,stop
1406221570352,computer_work,start
1406222375254,computer_work,stop
