unix time,Activity,Status
1414603303216,eat,start
1414603662215,eat,stop
1414603662215,talk,start
1414604086161,talk,stop
1414604086161,eat,start
1414604466025,eat,stop
1414604466025,talk,start
1414604790058,talk,stop
1414604790058,walk,start
1414604802084,walk,stop
1414604802084,stair,start
1414604821107,stair,stop
1414604821107,walk,start
1414604850375,walk,stop
1414604850375,stair,start
1414604864021,stair,stop
1414604864021,walk,start
1414604874040,walk,stop
1414604874040,stair,start
1414604887906,stair,stop
1414604887906,walk,start
1414604921749,walk,stop
1414604921749,computer_work,start
1414609291323,computer_work,stop
1414609291323,drink,start
1414609296700,drink,stop
1414609296700,computer_work,start
1414609616565,computer_work,stop
1414609616565,drink,start
1414609621093,drink,stop
1414609621093,computer_work,start
1414610269620,computer_work,stop
