unix time,Activity,Status
1405958974159,eat,start
1405959381015,eat,stop
1405959381015,talk,start
1405959652632,talk,stop
1405959652632,eat,start
1405960147721,eat,stop
1405960147721,talk,start
1405960201539,talk,stop
1405960201539,drink,start
1405960206486,drink,stop
1405960206486,talk,start
1405960224673,talk,stop
1405960224673,walk,start
1405960235261,walk,stop
1405960235261,stair,start
1405960257458,stair,stop
1405960257458,walk,start
1405960285762,walk,stop
1405960285762,stair,start
1405960302509,stair,stop
1405960302509,walk,start
1405960313873,walk,stop
1405960313873,stair,start
1405960328628,stair,stop
1405960328628,walk,start
1405960359165,walk,stop
1405960359165,computer_work,start
1405964203229,computer_work,stop
1405964203229,drink,start
1405964206229,drink,stop
1405964206229,computer_work,start
1405966039361,computer_work,stop
