unix time,Activity,Status
1406131542935,eat,start
1406131880605,eat,stop
1406131880605,talk,start
1406132141013,talk,stop
1406132141013,eat,start
1406132351531,eat,stop
1406132351531,talk,start
1406132463769,talk,stop
1406132463769,walk,start
1406132472098,walk,stop
1406132472098,stair,start
1406132496924,stair,stop
1406132496924,walk,start
1406132524116,walk,stop
1406132524116,stair,start
1406132535393,stair,stop
1406132535393,walk,start
1406132545523,walk,stop
1406132545523,stair,start
1406132558843,stair,stop
1406132558843,walk,start
1406132611785,walk,stop
1406132611785,drink,start
1406132613785,drink,stop
1406132613785,computer_work,start
1406138463394,computer_work,stop
