unix time,Activity,Status
1407266686329,drink,start
1407266705050,drink,stop
1407266705050,eat,start
1407267144659,eat,stop
1407267144659,talk,start
1407267482466,talk,stop
1407267482466,eat,start
1407267948023,eat,stop
1407267948023,talk,start
1407268198649,talk,stop
1407268198649,walk,start
1407268206916,walk,stop
1407268206916,stair,start
1407268233098,stair,stop
1407268233098,walk,start
1407268265062,walk,stop
1407268265062,stair,start
1407268287179,stair,stop
1407268287179,walk,start
1407268299348,walk,stop
1407268299348,stair,start
1407268319226,stair,stop
1407268319226,walk,start
1407268324226,walk,stop
1407268324226,talk,start
1407268386563,talk,stop
1407268386563,drink,start
1407268388563,drink,stop
1407268388563,study,start
1407268743175,study,stop
1407268743175,drink,start
1407268746175,drink,stop
1407268746175,study,start
1407272140426,study,stop
1407272140426,drink,start
1407272143426,drink,stop
1407272143426,study,start
1407273324338,study,stop
