unix time,Activity,Status
1410969223178,eat,start
1410969342913,eat,stop
1410969342913,talk,start
1410969681504,talk,stop
1410969681504,eat,start
1410969869191,eat,stop
1410969869191,talk,start
1410969920047,talk,stop
1410969920047,drink,start
1410969922530,drink,stop
1410969922530,talk,start
1410969989144,talk,stop
1410969989144,walk,start
1410969999221,walk,stop
1410969999221,stair,start
1410970022087,stair,stop
1410970022087,walk,start
1410970062146,walk,stop
1410970062146,stair,start
1410970070132,stair,stop
1410970070132,walk,start
1410970077769,walk,stop
1410970077769,stair,start
1410970090586,stair,stop
1410970090586,walk,start
1410970136520,walk,stop
1410970136520,talk,start
1410970234554,talk,stop
1410970234554,drink,start
1410970239777,drink,stop
1410970239777,ipad_work,start
1410972231344,ipad_work,stop
1410972231344,drink,start
1410972235567,drink,stop
1410972235567,ipad_work,start
1410976461854,ipad_work,stop
