unix time,Activity,Status
1412780719099,eat,start
1412781126172,eat,stop
1412781126172,talk,start
1412781663246,talk,stop
1412781663246,walk,start
1412781672338,walk,stop
1412781672338,stair,start
1412781696830,stair,stop
1412781696830,walk,start
1412781727960,walk,stop
1412781727960,stair,start
1412781746488,stair,stop
1412781746488,walk,start
1412781758208,walk,stop
1412781758208,stair,start
1412781771852,stair,stop
1412781771852,walk,start
1412781808245,walk,stop
1412781808245,talk,start
1412781821330,talk,stop
1412781821330,eat,start
1412782404130,eat,stop
1412782404130,talk,start
1412782530699,talk,stop
1412782530699,walk,start
1412782560502,walk,stop
1412782560502,computer_work,start
1412786158901,computer_work,stop
1412786158901,drink,start
1412786162574,drink,stop
1412786162574,computer_work,start
1412787744824,computer_work,stop
