unix time,Activity,Status
1408471938785,eat,start
1408472267869,eat,stop
1408472267869,talk,start
1408472306032,talk,stop
1408472306032,drink,start
1408472311527,drink,stop
1408472311527,talk,start
1408472849386,talk,stop
1408472849386,eat,start
1408473121320,eat,stop
1408473121320,talk,start
1408473145396,talk,stop
1408473145396,drink,start
1408473151517,drink,stop
1408473151517,talk,start
1408473305378,talk,stop
1408473305378,walk,start
1408473316801,walk,stop
1408473316801,stair,start
1408473345037,stair,stop
1408473345037,walk,start
1408473381948,walk,stop
1408473381948,stair,start
1408473402649,stair,stop
1408473402649,walk,start
1408473413162,walk,stop
1408473413162,stair,start
1408473428997,stair,stop
1408473428997,walk,start
1408473470523,walk,stop
1408473470523,study,start
1408478539397,study,stop
