unix time,Activity,Status
1407340926245,eat,start
1407341153462,eat,stop
1407341153462,talk,start
1407341433725,talk,stop
1407341433725,eat,start
1407341860208,eat,stop
1407341860208,talk,start
1407341942114,talk,stop
1407341942114,drink,start
1407341946175,drink,stop
1407341946175,talk,start
1407341979931,talk,stop
1407341979931,walk,start
1407341991738,walk,stop
1407341991738,stair,start
1407342013317,stair,stop
1407342013317,walk,start
1407342044180,walk,stop
1407342044180,stair,start
1407342066359,stair,stop
1407342066359,walk,start
1407342078432,walk,stop
1407342078432,stair,start
1407342096177,stair,stop
1407342096177,walk,start
1407342137136,walk,stop
1407342137136,talk,start
1407342246013,talk,stop
1407342246013,study,start
1407342579951,study,stop
1407342579951,drink,start
1407342589298,drink,stop
1407342589298,study,start
1407343865281,study,stop
1407343865281,drink,start
1407343873148,drink,stop
1407343873148,study,start
1407348089090,study,stop
