unix time,Activity,Status
1412971602635,eat,start
1412971832104,eat,stop
1412971832104,talk,start
1412972278080,talk,stop
1412972278080,eat,start
1412972499751,eat,stop
1412972499751,talk,start
1412972939180,talk,stop
1412972939180,walk,start
1412972954810,walk,stop
1412972954810,stair,start
1412972980370,stair,stop
1412972980370,walk,start
1412973008387,walk,stop
1412973008387,stair,start
1412973027289,stair,stop
1412973027289,walk,start
1412973039899,walk,stop
1412973039899,stair,start
1412973052398,stair,stop
1412973052398,walk,start
1412973092559,walk,stop
1412973092559,computer,start
1412975943586,computer,stop
1412975943586,drink,start
1412975951412,drink,stop
1412975951412,computer,start
1412978754046,computer,stop
