unix time,Activity,Status
1406736323129,eat,start
1406737203864,eat,stop
1406737203864,talk,start
1406737530173,talk,stop
1406737530173,eat,start
1406738491376,eat,stop
1406738491376,talk,start
1406738604705,talk,stop
1406738604705,drink,start
1406738629590,drink,stop
1406738629590,talk,start
1406738647801,talk,stop
1406738647801,walk,start
1406738658364,walk,stop
1406738658364,stair,start
1406738683926,stair,stop
1406738683926,walk,start
1406738719721,walk,stop
1406738719721,stair,start
1406738736558,stair,stop
1406738736558,walk,start
1406738748418,walk,stop
1406738748418,stair,start
1406738763285,stair,stop
1406738763285,walk,start
1406738768285,walk,stop
1406738768285,computer_work,start
1406742194102,computer_work,stop
1406742194102,drink,start
1406742196102,drink,stop
1406742196102,computer_work,start
1406743243655,computer_work,stop
