unix time,Activity,Status
1412968506707,eat,start
1412968697496,eat,stop
1412968697496,talk,start
1412968718513,talk,stop
1412968718513,drink,start
1412968722041,drink,stop
1412968722041,talk,start
1412969031063,talk,stop
1412969031063,eat,start
1412969207823,eat,stop
1412969207823,talk,start
1412970019856,talk,stop
1412970019856,walk,start
1412970028384,walk,stop
1412970028384,stair,start
1412970051423,stair,stop
1412970051423,walk,start
1412970085615,walk,stop
1412970085615,stair,start
1412970100998,stair,stop
1412970100998,walk,start
1412970111497,walk,stop
1412970111497,stair,start
1412970124151,stair,stop
1412970124151,walk,start
1412970156200,walk,stop
1412970156200,talk,start
1412970170530,talk,stop
1412970170530,drink,start
1412970174170,drink,stop
1412970174170,home_work,start
1412975761740,home_work,stop
